itemID,boughtAt,convertAt,status,itemCategory,itemType,itemSubType,gender,itemCondition,itemFabrics,itemColor,size,brand,acquisitionChannel,purchasePrice,resalePrice,repairEffort
ITEM00001,2025-06-10 05:46:42,2025-07-27 07:48:13,sold,Footwear,Shoes,Heels,Unisex,4,"29,0,0,0,0,0,71,0",Green,S,Zara,userSellIn,20.92,68.68,minor
ITEM00002,2025-06-11 05:32:17,2025-07-22 13:14:41,sold,Topwear,Jacket,Winter Coat,Kids,7,"0,0,0,0,0,100,0,0",Blue,S,Levi's,bulkWholesale,20.62,57.65,minor
ITEM00003,2025-06-25 09:59:41,2025-07-19 02:30:08,sold,Topwear,Shirt,Blouse,Kids,8,"0,0,0,100,0,0,0,0",Beige,L,Adidas,donation,9.76,38.62,none
ITEM00004,2025-06-24 17:30:16,2025-09-28 05:41:27,recycled,Footwear,Shoes,Boots,Men,0,"79,0,0,21,0,0,0,0",Grey,38,H&M,bulkWholesale,3.05,0.0,minor
ITEM00005,2025-06-11 19:22:40,2025-08-27 18:40:07,sold,Topwear,Shirt,Blouse,Men,9,"0,0,61,39,0,0,0,0",Red,34,Adidas,userSellIn,13.23,22.41,none
ITEM00006,2025-06-08 16:12:17,2025-07-19 02:14:20,sold,Topwear,Shirt,T-Shirt,Kids,10,"0,0,0,0,0,0,0,100",Multicolor,S,Patagonia,bulkWholesale,24.63,44.76,none
ITEM00007,2025-06-23 10:35:21,2025-08-27 19:45:31,recycled,Bottomwear,Pants,Shorts,Men,2,"0,0,79,0,0,0,21,0",Grey,XS,Zara,donation,1.6,0.0,none
ITEM00008,2025-07-03 12:56:06,2025-09-30 07:27:14,sold,Topwear,Jacket,Winter Coat,Women,4,"0,0,0,0,0,0,37,63",White,38,Gucci,donation,3.58,12.99,heavy
ITEM00009,2025-07-03 15:56:59,2025-09-20 04:02:17,sold,Accessories,General,Scarf,Unisex,7,"0,0,0,0,0,0,0,100",Grey,36,Uniqlo,bulkWholesale,10.83,37.3,heavy
ITEM00010,2025-06-29 16:30:25,2025-09-14 01:07:57,sold,Bottomwear,Skirt,Mini Skirt,Unisex,3,"0,100,0,0,0,0,0,0",Blue,34,Gucci,donation,24.52,55.17,moderate
ITEM00011,2025-06-07 02:22:12,2025-09-18 03:13:44,disposed,Accessories,General,Scarf,Unisex,2,"0,100,0,0,0,0,0,0",Black,36,Uniqlo,donation,12.57,0.0,minor
ITEM00012,2025-06-15 23:34:36,2025-08-25 04:09:21,disposed,Footwear,Shoes,Sneakers,Women,2,"0,0,0,0,0,54,46,0",Green,34,Uniqlo,userSellIn,7.76,0.0,minor
ITEM00013,2025-06-21 23:02:48,2025-10-02 12:20:50,disposed,Bottomwear,Skirt,Maxi Skirt,Women,0,"72,0,0,0,0,0,0,28",Beige,XL,Patagonia,bulkWholesale,29.79,0.0,none
ITEM00014,2025-06-22 12:58:52,2025-08-01 08:22:59,recycled,Footwear,Shoes,Heels,Women,2,"0,0,0,61,39,0,0,0",Black,L,Uniqlo,donation,29.88,0.0,heavy
ITEM00015,2025-06-10 08:31:56,2025-09-07 20:13:36,sold,One-Piece,Dress,Evening Dress,Unisex,8,"0,0,0,0,0,100,0,0",Beige,36,Nike,bulkWholesale,27.33,41.24,moderate
ITEM00016,2025-06-09 02:47:15,2025-09-10 06:52:05,disposed,Accessories,General,Handbag,Unisex,1,"0,0,74,0,0,0,0,26",Black,S,Nike,userSellIn,3.49,0.0,moderate
ITEM00017,2025-06-19 19:54:05,2025-09-26 04:34:48,sold,Accessories,General,Belt,Men,7,"0,80,0,20,0,0,0,0",Green,36,H&M,userSellIn,11.42,25.55,minor
ITEM00018,2025-07-03 23:36:24,2025-08-04 06:14:12,disposed,Footwear,Shoes,Boots,Women,1,"0,0,0,100,0,0,0,0",Grey,S,Zara,bulkWholesale,15.07,0.0,heavy
ITEM00019,2025-06-18 16:07:01,2025-09-29 22:36:29,sold,Bottomwear,Skirt,Maxi Skirt,Kids,8,"0,0,0,0,0,100,0,0",Multicolor,34,Uniqlo,donation,7.24,21.81,moderate
ITEM00020,2025-07-03 01:08:45,2025-09-17 16:12:46,disposed,One-Piece,Dress,Evening Dress,Unisex,1,"34,0,0,0,66,0,0,0",Blue,44,Uniqlo,bulkWholesale,19.22,0.0,heavy
ITEM00021,2025-06-21 09:18:33,2025-08-09 00:03:58,sold,One-Piece,Dress,Casual Dress,Unisex,7,"0,0,0,0,0,0,0,100",Blue,34,Levi's,donation,4.07,8.97,moderate
ITEM00022,2025-06-17 06:35:29,2025-09-27 22:43:18,disposed,Bottomwear,Pants,Chinos,Women,2,"0,0,0,100,0,0,0,0",Red,34,Adidas,userSellIn,14.74,0.0,moderate
ITEM00023,2025-07-02 18:33:31,2025-08-08 21:15:01,disposed,Topwear,Jacket,Hoodie,Men,1,"0,0,0,0,0,100,0,0",Beige,XL,Adidas,donation,10.28,0.0,heavy
